transaction_id,customer_id,bank_name,account_type,merchant_name,merchant_category,transaction_amount,currency,payment_method,upi_app,transaction_type,transaction_hour,transaction_day,transaction_month,customer_age,occupation,annual_income,state,city,device_type,device_brand,mobile_network,authentication_method,authentication_status,login_attempts,failed_login_count,previous_transactions,average_transaction_amount,account_balance,beneficiary_age_days,beneficiary_bank,merchant_risk_score,device_trust_score,ip_risk_score,transaction_distance_km,location_match,new_device,international_transaction,weekend_transaction,high_value_transaction,transaction_duration_sec,fraud_label
TXN1000000,CUST46048,Axis Bank,Current,Bharat Petroleum,Pharmacy,3998.3,INR,IMPS,Amazon Pay,Recharge,1,Monday,February,31,Government,2269613,Andhra Pradesh,Visakhapatnam,Android,Vivo,BSNL,UPI PIN,Success,4,2,103,4313.87,125217.62,3561,State Bank of India,10.52,89.29,60.11,1770.18,Yes,No,No,No,No,5.23,Fraudulent
TXN1000001,CUST65392,Canara Bank,Salary,Bharat Petroleum,Restaurant,2706.99,INR,Credit Card,PhonePe,Purchase,12,Monday,June,72,Farmer,1259480,Maharashtra,Nagpur,Android,Motorola,Jio,MPIN,Success,1,2,106,2948.79,18938.41,2575,Kotak Mahindra Bank,54.85,51.99,4.67,2434.39,Yes,Yes,No,No,No,156.7,Legitimate
TXN1000002,CUST19116,State Bank of India,Current,Swiggy,Pharmacy,3196.37,INR,RTGS,Navi,Purchase,12,Wednesday,August,58,Farmer,832220,Punjab,Ludhiana,Tablet,Realme,Airtel,Biometric,Success,6,0,77,2084.17,772522.81,2601,ICICI Bank,81.8,44.37,9.77,1710.58,Yes,Yes,No,Yes,No,56.14,Legitimate
TXN1000003,CUST70589,Union Bank of India,Salary,BookMyShow,Restaurant,2090.97,INR,Credit Card,Navi,Purchase,7,Sunday,January,69,Farmer,1832607,Rajasthan,Jaipur,Tablet,Apple,Airtel,Biometric,Success,2,3,50,2518.13,166749.36,3624,Bank of Baroda,58.93,22.51,84.23,1124.39,Yes,No,No,Yes,No,31.11,Legitimate
TXN1000004,CUST28301,Axis Bank,Salary,Jio,Telecom,2747.35,INR,Net Banking,Paytm,Bill Payment,4,Friday,August,23,Student,609901,Telangana,Warangal,iPhone,Xiaomi,BSNL,OTP,Success,4,3,76,2244.8,285724.28,1918,Indian Bank,31.69,63.42,14.09,2005.49,Yes,No,No,No,No,91.58,Legitimate
TXN1000005,CUST11504,HDFC Bank,Salary,Zomato,Pharmacy,2428.01,INR,Debit Card,BHIM,Bill Payment,14,Monday,December,74,Self-Employed,2249610,Uttar Pradesh,Noida,iPhone,Apple,Vi,UPI PIN,Success,2,2,97,2838.52,484965.0,662,Indian Bank,93.0,72.09,91.5,2125.1,Yes,Yes,No,No,No,100.93,Legitimate
TXN1000006,CUST52487,Bank of Baroda,Savings,Indian Oil,Hospital,4828.53,INR,Debit Card,Google Pay,Purchase,7,Friday,February,23,Retired,440298,Tamil Nadu,Salem,iPhone,Xiaomi,BSNL,UPI PIN,Success,3,3,27,3359.09,608747.65,3805,Indian Bank,58.32,81.68,49.38,1306.83,Yes,Yes,No,Yes,No,269.25,Legitimate
TXN1000007,CUST50857,Union Bank of India,Salary,BSNL,Utility Bill,3554.84,INR,Mobile Wallet,PhonePe,Bill Payment,7,Monday,June,19,Government,1073658,Gujarat,Vadodara,Android,Apple,Jio,UPI PIN,Success,1,0,110,4110.86,483731.69,1354,HDFC Bank,56.28,36.24,94.29,1497.16,Yes,No,No,No,No,191.85,Legitimate
TXN1000008,CUST97684,Bank of Baroda,Current,BookMyShow,Fuel Station,2069.63,INR,Mobile Wallet,Google Pay,Recharge,13,Tuesday,February,24,Homemaker,1636031,Rajasthan,Jodhpur,Laptop,OnePlus,BSNL,OTP,Success,6,0,7,2134.77,716924.99,1650,Canara Bank,35.21,28.8,22.79,1067.77,Yes,No,Yes,No,No,162.56,Legitimate
TXN1000009,CUST35112,Axis Bank,Business,Bharat Petroleum,Education,4036.55,INR,NEFT,Paytm,Recharge,7,Sunday,February,46,Employee,362182,Andhra Pradesh,Visakhapatnam,Android,Apple,Airtel,UPI PIN,Success,4,3,61,3291.93,135048.69,876,Union Bank of India,25.78,64.65,40.38,162.23,Yes,No,No,Yes,No,93.76,Legitimate
TXN1000010,CUST59672,State Bank of India,Business,Myntra,Travel,3157.11,INR,Debit Card,BHIM,Ticket Booking,23,Sunday,September,60,Retired,799264,Karnataka,Bengaluru,iPhone,Oppo,Airtel,OTP,Success,5,0,95,2024.29,726658.58,1285,State Bank of India,27.76,31.59,48.95,2464.13,Yes,No,No,Yes,No,76.44,Legitimate
TXN1000011,CUST72493,Indian Bank,Current,DMart,Utility Bill,2217.24,INR,IMPS,Navi,Bill Payment,2,Friday,February,61,Government,1843557,Karnataka,Hubli,Android,Vivo,Jio,OTP,Success,4,2,119,3074.73,653237.28,1069,Axis Bank,80.84,32.06,50.82,1739.53,Yes,No,No,No,No,156.07,Legitimate
TXN1000012,CUST44814,Union Bank of India,Current,Swiggy,Travel,1375.37,INR,Credit Card,Navi,Purchase,0,Thursday,October,54,Employee,457277,West Bengal,Kolkata,iPhone,Oppo,Airtel,Biometric,Success,1,1,47,1250.75,110447.99,1168,ICICI Bank,37.4,29.08,92.47,2193.35,Yes,No,No,Yes,No,157.41,Legitimate
TXN1000013,CUST90173,Indian Bank,Savings,BookMyShow,Shopping Mall,3945.29,INR,IMPS,Google Pay,Money Transfer,3,Monday,December,53,Business,1292311,Bihar,Patna,Tablet,Vivo,Vi,UPI PIN,Success,6,2,64,5414.26,706167.76,2002,Punjab National Bank,22.93,42.31,70.04,2116.65,Yes,No,No,No,No,29.82,Legitimate
TXN1000014,CUST93136,Union Bank of India,Salary,DMart,Grocery,3407.29,INR,Credit Card,Navi,Bill Payment,20,Wednesday,March,65,Retired,2463915,Karnataka,Bengaluru,Laptop,Samsung,Jio,OTP,Success,6,1,69,2320.97,4546.74,148,Canara Bank,20.28,63.9,69.19,1629.9,Yes,No,No,Yes,No,57.75,Legitimate
TXN1000015,CUST26704,State Bank of India,Salary,IRCTC,Grocery,4861.53,INR,Credit Card,Google Pay,Ticket Booking,7,Saturday,February,40,Homemaker,798243,Telangana,Warangal,iPhone,Xiaomi,Airtel,MPIN,Success,1,1,94,5720.81,434260.91,3787,Canara Bank,53.34,70.91,25.05,1474.68,No,No,No,Yes,No,239.47,Legitimate
TXN1000016,CUST44970,ICICI Bank,Savings,Airtel,Grocery,2488.7,INR,Mobile Wallet,Google Pay,Bill Payment,14,Wednesday,May,70,Government,1085009,Assam,Guwahati,Android,Vivo,BSNL,Biometric,Success,3,0,98,2931.59,19940.62,1144,Canara Bank,66.32,34.17,94.05,2384.82,Yes,No,Yes,No,No,102.57,Legitimate
TXN1000017,CUST13617,HDFC Bank,Salary,Big Bazaar,Telecom,11615.94,INR,Debit Card,PhonePe,Purchase,19,Thursday,June,64,Farmer,1980368,Odisha,Bhubaneswar,Android,OnePlus,Airtel,Biometric,Success,1,3,0,16079.54,244904.77,2130,Indian Bank,23.14,41.48,48.53,931.72,Yes,No,No,No,No,33.67,Legitimate
TXN1000018,CUST66531,HDFC Bank,Salary,Zomato,E-Commerce,5433.62,INR,IMPS,CRED,Money Transfer,16,Wednesday,November,44,Farmer,1837789,Gujarat,Surat,Tablet,Xiaomi,Airtel,MPIN,Success,6,3,86,6290.03,287913.18,3065,ICICI Bank,32.89,84.75,81.01,2167.68,Yes,No,No,Yes,No,62.31,Legitimate
TXN1000019,CUST81819,State Bank of India,Salary,Swiggy,Restaurant,3057.86,INR,Net Banking,Navi,Cash Withdrawal,19,Saturday,June,47,Retired,2004552,Delhi,New Delhi,iPhone,Motorola,Airtel,OTP,Success,3,2,11,1958.91,22579.61,3353,Axis Bank,59.99,55.08,67.2,820.38,Yes,No,No,No,No,14.0,Legitimate
TXN1000020,CUST36100,ICICI Bank,Savings,DMart,Restaurant,2156.68,INR,Mobile Wallet,Amazon Pay,Purchase,14,Thursday,November,54,Government,1760522,Delhi,New Delhi,Laptop,OnePlus,Airtel,UPI PIN,Success,6,0,114,2195.06,173048.91,3076,HDFC Bank,64.17,26.83,5.17,1328.39,Yes,No,No,Yes,No,291.01,Legitimate
TXN1000021,CUST33053,Indian Bank,Business,DMart,Utility Bill,5523.18,INR,RTGS,Navi,Purchase,14,Tuesday,August,60,Farmer,2006287,Assam,Guwahati,Laptop,Motorola,Airtel,MPIN,Success,4,2,96,5076.12,595362.09,1013,Punjab National Bank,28.83,34.75,8.09,1070.79,Yes,Yes,No,Yes,No,78.82,Legitimate
TXN1000022,CUST45992,Bank of Baroda,Savings,Swiggy,Restaurant,5123.15,INR,Debit Card,Paytm,Money Transfer,17,Monday,March,27,Government,1756566,Haryana,Gurugram,iPhone,Vivo,Jio,MPIN,Success,4,2,69,6987.42,443706.06,1909,Union Bank of India,63.11,53.57,24.77,889.93,Yes,Yes,No,Yes,No,32.78,Legitimate
TXN1000023,CUST65069,Union Bank of India,Savings,Airtel,Travel,6045.76,INR,UPI,Paytm,Money Transfer,12,Sunday,July,52,Government,2197782,Karnataka,Bengaluru,iPhone,Oppo,BSNL,MPIN,Success,1,3,43,4475.46,610809.86,2740,Union Bank of India,81.66,47.7,46.47,1624.43,Yes,No,No,No,No,115.51,Legitimate
TXN1000024,CUST26728,Kotak Mahindra Bank,Savings,Airtel,Telecom,5737.9,INR,UPI,PhonePe,Ticket Booking,13,Tuesday,August,29,Student,1241174,Maharashtra,Pune,Laptop,Realme,Airtel,MPIN,Success,3,2,97,4190.66,514114.21,3604,Union Bank of India,7.52,66.86,94.02,1438.69,Yes,No,No,Yes,No,247.09,Legitimate
TXN1000025,CUST43065,HDFC Bank,Business,Reliance Fresh,Utility Bill,2979.33,INR,UPI,Paytm,Bill Payment,20,Monday,November,20,Student,1187181,Uttar Pradesh,Kanpur,iPhone,Samsung,Airtel,UPI PIN,Success,2,3,85,3340.39,219531.92,469,Kotak Mahindra Bank,25.39,50.18,3.9,1545.63,Yes,No,No,No,No,11.87,Legitimate
TXN1000026,CUST43586,Canara Bank,Current,Indian Oil,Fuel Station,1935.34,INR,Debit Card,PhonePe,Cash Withdrawal,0,Wednesday,October,61,Homemaker,1813689,Gujarat,Surat,iPhone,Apple,Airtel,OTP,Success,6,2,108,2134.98,588189.3,2803,Kotak Mahindra Bank,81.33,42.56,17.74,1876.54,Yes,No,No,No,No,78.75,Legitimate
TXN1000027,CUST55508,Indian Bank,Business,IRCTC,Pharmacy,2339.3,INR,Credit Card,PhonePe,Recharge,15,Monday,July,79,Farmer,2078286,Andhra Pradesh,Visakhapatnam,iPhone,OnePlus,Airtel,Biometric,Success,5,3,59,2455.08,544035.9,1785,Kotak Mahindra Bank,75.29,39.06,37.77,1335.82,Yes,No,No,Yes,No,119.81,Legitimate
TXN1000028,CUST42177,HDFC Bank,Salary,BSNL,Restaurant,3613.95,INR,Mobile Wallet,Amazon Pay,Cash Withdrawal,21,Thursday,June,19,Retired,1513208,Uttar Pradesh,Kanpur,iPhone,Motorola,Airtel,Biometric,Success,3,2,35,3826.27,359032.19,3606,Kotak Mahindra Bank,32.86,46.29,67.25,1880.94,Yes,No,No,No,No,292.4,Fraudulent
TXN1000029,CUST11330,Indian Bank,Current,Apollo Pharmacy,Restaurant,2721.44,INR,Net Banking,BHIM,Cash Withdrawal,7,Saturday,August,59,Retired,2029780,Uttar Pradesh,Noida,Android,Apple,Vi,UPI PIN,Success,4,1,39,3237.5,564812.27,2720,Kotak Mahindra Bank,97.02,75.04,83.7,2167.17,Yes,No,No,Yes,No,247.45,Legitimate
TXN1000030,CUST82544,Indian Bank,Salary,Jio,Utility Bill,5712.13,INR,Credit Card,Paytm,Ticket Booking,14,Wednesday,May,34,Government,656067,Punjab,Amritsar,iPhone,Realme,Jio,UPI PIN,Success,2,1,94,7933.01,301319.54,1984,Punjab National Bank,12.93,82.17,55.84,1060.56,Yes,Yes,No,Yes,No,124.53,Legitimate
TXN1000031,CUST35443,Punjab National Bank,Current,IRCTC,Fuel Station,2148.37,INR,Debit Card,PhonePe,Ticket Booking,17,Tuesday,May,20,Student,2470955,Delhi,New Delhi,Tablet,Xiaomi,BSNL,OTP,Success,1,2,60,2607.6,595497.22,1961,Bank of Baroda,69.7,39.0,40.02,1194.29,Yes,No,No,No,No,8.59,Fraudulent
TXN1000032,CUST16734,Punjab National Bank,Business,Indian Oil,Pharmacy,3402.75,INR,Net Banking,BHIM,Purchase,18,Saturday,November,21,Business,775780,West Bengal,Kolkata,Tablet,Apple,Airtel,OTP,Failed,5,3,77,3549.35,418716.73,2442,Kotak Mahindra Bank,64.79,75.66,45.45,1568.9,Yes,No,Yes,No,No,287.82,Legitimate
TXN1000033,CUST69049,Bank of Baroda,Salary,Jio,Shopping Mall,2983.8,INR,UPI,Amazon Pay,Ticket Booking,3,Sunday,April,58,Government,1260006,Rajasthan,Jodhpur,Android,Xiaomi,Airtel,UPI PIN,Success,5,0,20,2045.11,136159.08,11,Union Bank of India,66.45,51.06,22.94,664.84,Yes,No,No,Yes,No,163.15,Legitimate
